test_time,cycle,current,voltage                                                                                                                  
4474.331,1,0.74,3.725                                                                                                                            
4475.331,1,0.74,3.725                                                                                                                            
4476.331,1,0.74,3.726                                                                                                                            
4477.331,1,0.74,3.726                                                                                                                            
4478.331,1,0.74,3.727                                                                                                                            
4479.331,1,0.74,3.727                                                                                                                            
4480.331,1,0.74,3.727                                                                                                                            
4481.331,1,0.74,3.728                                                                                                                            
4482.331,1,0.74,3.728                                                                                                                            
4483.331,1,0.74,3.728                                                                                                                            
4484.331,1,0.74,3.729                                                                                                                            
4485.331,1,0.74,3.729                                                                                                                            
4486.331,1,0.74,3.729                                                                                                                            
4487.331,1,0.74,3.73                                                                                                                             
4488.331,1,0.74,3.73                                                                                                                             
4489.331,1,0.74,3.731                                                                                                                            
4490.331,1,0.74,3.731                                                                                                                            
4491.331,1,0.74,3.731                                                                                                                            
4492.331,1,0.74,3.732                                                                                                                            
4493.331,1,0.74,3.732                                                                                                                            
4494.331,1,0.74,3.733                                                                                                                            
4495.331,1,0.74,3.733                                                                                                                            
4496.331,1,0.74,3.733                                                                                                                            
4497.331,1,0.74,3.734                                                                                                                            
4498.331,1,0.74,3.734                                                                                                                            
4499.331,1,0.74,3.734                                                                                                                            
4500.331,1,0.74,3.735                                                                                                                            
4501.331,1,0.74,3.735                                                                                                                            
4502.331,1,0.74,3.735                                                                                                                            
4503.331,1,0.74,3.736                                                                                                                            
4504.331,1,0.74,3.736                                                                                                                            
4505.331,1,0.74,3.737                                                                                                                            
4506.331,1,0.74,3.737                                                                                                                            
4507.331,1,0.74,3.737                                                                                                                            
4508.331,1,0.74,3.738                                                                                                                            
4509.331,1,0.74,3.738                                                                                                                            
4510.331,1,0.74,3.738                                                                                                                            
4511.331,1,0.74,3.739                                                                                                                            
4512.331,1,0.74,3.739                                                                                                                            
4513.331,1,0.74,3.739                                                                                                                            
4514.331,1,0.74,3.74                                                                                                                             
4515.331,1,0.74,3.74                                                                                                                             
4516.331,1,0.74,3.74                                                                                                                             
4517.331,1,0.74,3.741                                                                                                                            
4518.331,1,0.74,3.741                                                                                                                            
4519.331,1,0.74,3.741                                                                                                                            
4520.331,1,0.74,3.742                                                                                                                            
4521.331,1,0.74,3.742                                                                                                                            
4522.331,1,0.74,3.742                                                                                                                            
4523.331,1,0.74,3.743                                                                                                                            
4524.331,1,0.74,3.744                                                                                                                            
4525.331,1,0.74,3.744                                                                                                                            
4526.331,1,0.74,3.744                                                                                                                            
4527.331,1,0.74,3.744                                                                                                                            
4528.331,1,0.74,3.745                                                                                                                            
4529.331,1,0.74,3.745                                                                                                                            
4530.331,1,0.74,3.745                                                                                                                            
4531.331,1,0.74,3.746                                                                                                                            
4532.331,1,0.74,3.746                                                                                                                            
4533.331,1,0.74,3.746                                                                                                                            
4534.331,1,0.74,3.747                                                                                                                            
4535.331,1,0.74,3.747                                                                                                                            
4536.331,1,0.74,3.747                                                                                                                            
4537.331,1,0.74,3.748                                                                                                                            
4538.331,1,0.74,3.748                                                                                                                            
4539.331,1,0.74,3.749                                                                                                                            
4540.331,1,0.74,3.749                                                                                                                            
4541.331,1,0.74,3.749                                                                                                                            
4542.331,1,0.74,3.749                                                                                                                            
4543.331,1,0.74,3.75                                                                                                                             
4544.331,1,0.74,3.75                                                                                                                             
4545.331,1,0.74,3.75                                                                                                                             
4546.331,1,0.74,3.751                                                                                                                            
4547.331,1,0.74,3.751                                                                                                                            
4548.331,1,0.74,3.751                                                                                                                            
4549.331,1,0.74,3.751                                                                                                                            
4550.331,1,0.74,3.752                                                                                                                            
4551.331,1,0.74,3.752                                                                                                                            
4552.331,1,0.74,3.752                                                                                                                            
4553.331,1,0.74,3.753                                                                                                                            
4554.331,1,0.74,3.753                                                                                                                            
4555.331,1,0.74,3.754                                                                                                                            
4556.331,1,0.74,3.754                                                                                                                            
4557.331,1,0.74,3.754                                                                                                                            
4558.331,1,0.74,3.754                                                                                                                            
4559.331,1,0.74,3.755                                                                                                                            
4560.331,1,0.74,3.755                                                                                                                            
4561.331,1,0.74,3.755                                                                                                                            
4562.331,1,0.74,3.756                                                                                                                            
4563.331,1,0.74,3.756                                                                                                                            
4564.331,1,0.74,3.756                                                                                                                            
4565.331,1,0.74,3.757                                                                                                                            
4566.331,1,0.74,3.757                                                                                                                            
4567.331,1,0.74,3.757                                                                                                                            
4568.331,1,0.74,3.757                                                                                                                            
4569.331,1,0.74,3.758                                                                                                                            
4570.331,1,0.74,3.758                                                                                                                            
4571.331,1,0.74,3.758                                                                                                                            
4572.331,1,0.74,3.758                                                                                                                            
4573.331,1,0.74,3.759                                                                                                                            
4574.331,1,0.74,3.759                                                                                                                            
4575.331,1,0.74,3.76                                                                                                                             
4576.331,1,0.74,3.76                                                                                                                             
4577.331,1,0.74,3.76                                                                                                                             
4578.331,1,0.74,3.76                                                                                                                             
4579.331,1,0.74,3.76                                                                                                                             
4580.331,1,0.74,3.761                                                                                                                            
4581.331,1,0.74,3.761                                                                                                                            
4582.331,1,0.74,3.761                                                                                                                            
4583.331,1,0.74,3.762                                                                                                                            
4584.331,1,0.74,3.762                                                                                                                            
4585.331,1,0.74,3.762                                                                                                                            
4586.331,1,0.74,3.763                                                                                                                            
4587.331,1,0.74,3.763                                                                                                                            
4588.331,1,0.74,3.763                                                                                                                            
4589.331,1,0.74,3.763                                                                                                                            
4590.331,1,0.74,3.764                                                                                                                            
4591.331,1,0.74,3.764                                                                                                                            
4592.331,1,0.74,3.764                                                                                                                            
4593.331,1,0.74,3.764                                                                                                                            
4594.331,1,0.74,3.765                                                                                                                            
4595.331,1,0.74,3.765                                                                                                                            
4596.331,1,0.74,3.765                                                                                                                            
4597.331,1,0.74,3.766                                                                                                                            
4598.331,1,0.74,3.766                                                                                                                            
4599.331,1,0.74,3.766                                                                                                                            
4600.331,1,0.74,3.767                                                                                                                            
4601.331,1,0.74,3.767                                                                                                                            
4602.331,1,0.74,3.767                                                                                                                            
4603.331,1,0.74,3.767                                                                                                                            
4604.331,1,0.74,3.768                                                                                                                            
4605.331,1,0.74,3.768                                                                                                                            
4606.331,1,0.74,3.768                                                                                                                            
4607.331,1,0.74,3.768                                                                                                                            
4608.331,1,0.74,3.769                                                                                                                            
4609.331,1,0.74,3.769                                                                                                                            
4610.331,1,0.74,3.769                                                                                                                            
4611.331,1,0.74,3.77                                                                                                                             
4612.331,1,0.74,3.77                                                                                                                             
4613.331,1,0.74,3.77                                                                                                                             
4614.331,1,0.74,3.77                                                                                                                             
4615.331,1,0.74,3.77                                                                                                                             
4616.331,1,0.74,3.771                                                                                                                            
4617.331,1,0.74,3.771                                                                                                                            
4618.331,1,0.74,3.771                                                                                                                            
4619.331,1,0.74,3.771                                                                                                                            
4620.331,1,0.74,3.772                                                                                                                            
4621.331,1,0.74,3.772                                                                                                                            
4622.331,1,0.74,3.772                                                                                                                            
4623.331,1,0.74,3.772                                                                                                                            
4624.331,1,0.74,3.772                                                                                                                            
4625.331,1,0.74,3.773                                                                                                                            
4626.331,1,0.74,3.773                                                                                                                            
4627.331,1,0.74,3.773                                                                                                                            
4628.331,1,0.74,3.774                                                                                                                            
4629.331,1,0.74,3.774                                                                                                                            
4630.331,1,0.74,3.774                                                                                                                            
4631.331,1,0.74,3.774                                                                                                                            
4632.331,1,0.74,3.775                                                                                                                            
4633.331,1,0.74,3.775                                                                                                                            
4634.331,1,0.74,3.775                                                                                                                            
4635.331,1,0.74,3.775                                                                                                                            
4636.331,1,0.74,3.776                                                                                                                            
4637.331,1,0.74,3.776                                                                                                                            
4638.331,1,0.74,3.776                                                                                                                            
4639.331,1,0.74,3.776                                                                                                                            
4640.331,1,0.74,3.776                                                                                                                            
4641.331,1,0.74,3.777                                                                                                                            
4642.331,1,0.74,3.777                                                                                                                            
4643.331,1,0.74,3.777                                                                                                                            
4644.331,1,0.74,3.777                                                                                                                            
4645.331,1,0.74,3.777                                                                                                                            
4646.331,1,0.74,3.778                                                                                                                            
4647.331,1,0.74,3.778                                                                                                                            
4648.331,1,0.74,3.778                                                                                                                            
4649.331,1,0.74,3.778                                                                                                                            
4650.331,1,0.74,3.779                                                                                                                            
4651.331,1,0.74,3.779                                                                                                                            
4652.331,1,0.74,3.779                                                                                                                            
4653.331,1,0.74,3.779                                                                                                                            
4654.331,1,0.74,3.78                                                                                                                             
4655.331,1,0.74,3.78                                                                                                                             
4656.331,1,0.74,3.78                                                                                                                             
4657.331,1,0.74,3.78                                                                                                                             
4658.331,1,0.74,3.78                                                                                                                             
4659.331,1,0.74,3.781                                                                                                                            
4660.331,1,0.74,3.781                                                                                                                            
4661.331,1,0.74,3.781                                                                                                                            
4662.331,1,0.74,3.781                                                                                                                            
4663.331,1,0.74,3.781                                                                                                                            
4664.331,1,0.74,3.782                                                                                                                            
4665.331,1,0.74,3.782                                                                                                                            
4666.331,1,0.74,3.782                                                                                                                            
4667.331,1,0.74,3.782                                                                                                                            
4668.331,1,0.74,3.782                                                                                                                            
4669.331,1,0.74,3.783                                                                                                                            
4670.331,1,0.74,3.783                                                                                                                            
4671.331,1,0.74,3.783                                                                                                                            
4672.331,1,0.74,3.783                                                                                                                            
4673.331,1,0.74,3.784                                                                                                                            
4674.331,1,0.74,3.784                                                                                                                            
4675.331,1,0.74,3.784                                                                                                                            
4676.331,1,0.74,3.784                                                                                                                            
4677.331,1,0.74,3.784                                                                                                                            
4678.331,1,0.74,3.785                                                                                                                            
